Investor,RemunerationPolicy
AQR Capital Management LLC,"**AQR Capital Management LLC Voting Policy on Remuneration**

- **General Approach:** Not mentioned  
- **Salary Caps and Bonuses:** Not mentioned  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Not mentioned  
- **Performance Alignment:** Not mentioned  
- **Clawbacks:** Not mentioned  
- **ESG-Based Remuneration:** Not mentioned  
- **Voting Considerations:**  
  - Not mentioned  
  - Not mentioned  
  - Not mentioned  
- **In summary:** No explicit information on remuneration-related voting policy is provided in the text."
APG Asset Management NV,"**APG Asset Management NV Voting Policy on Remuneration**

- **General Approach:** The remuneration policy for management board members should be clear, understandable, focus on long-term value creation, and consider internal pay ratios. It should not encourage self-interest or excessive risk-taking outside the company's strategy and risk appetite. The supervisory board is responsible for formulating and implementing the policy.

- **Salary Caps and Bonuses:** Severance payments should not exceed one year’s fixed salary. Severance is not awarded if termination is at the management board member's initiative or due to serious culpable or negligent behavior. Variable remuneration must be linked to measurable performance criteria determined in advance and predominantly long-term.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Shares awarded should be held for at least five years. Supervisory board members may not receive remuneration in the form of shares or rights to shares.

- **Performance Alignment:** Variable remuneration components must be linked to measurable performance criteria determined in advance, predominantly long-term. The remuneration report must describe how variable remuneration contributes to long-term value creation and detail the performance criteria used.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - The remuneration policy should be clear and presented to the general meeting for adoption.
  - The remuneration of supervisory board members should promote adequate performance and reflect time and responsibility.
  - The remuneration report should transparently account for the implementation of the remuneration policy, including scenario analyses and pay ratios.

- **In summary:** APG’s remuneration policy emphasizes long-term value creation through clear, performance-linked compensation structures governed by the supervisory board with transparency and appropriate governance oversight."
ARG Asset Management,"**ARG Asset Management Voting Policy on Remuneration**

- **General Approach:** Votes in favor of executive and supervisory board proposals unless contrary to policy; will seek dialogue before voting against or abstaining. Periodic shareholder information on remuneration policy is required.

- **Salary Caps and Bonuses:** Severance pay may not exceed fixed annual salary except in manifestly unreasonable termination in first term, where max is twice fixed salary. No guaranteed compensation for poor performance. Variable pay may not exceed 100% of fixed pay; above this is case-by-case.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Variable long-term pay granted unconditionally over at least three years; in event of public offer/legal merger/spin-off, conditional shares awarded at most pro rata. No numeric dilution limits or repricing/strike price rules mentioned.

- **Performance Alignment:** Variable pay based on predefined, clear, measurable, influenceable, feasible targets linked to company strategy. Variable pay must strengthen commitment and contain no guaranteed components. Variable components include ESG objectives that are clear, quantifiable, time-related, challenging, measurable, transparent, and performance-related.

- **Clawbacks:** Present; clawback of unconditional/paid variable pay if awarded based on incorrect information. Supervisory board institutes recovery procedures.

- **ESG-Based Remuneration:** Variable pay components partly based on environmental, social and/or governance objectives linked to strategy and risks.

- **Voting Considerations:**
  - Whether proposals comply with remuneration principles and policy.
  - Adequacy of compensation for abrogated shareholder pre-emptive rights.
  - Transparency and detail in the remuneration report, including performance targets and discretionary awards.

- **In summary:** Votes support remuneration aligned with long-term strategy, clear performance metrics, appropriate caps, and transparency, with clawback mechanisms and ESG integration."
AXA Investment Managers (Paris) SA,"**AXA Investment Managers (Paris) SA Voting Policy on Remuneration**

- **General Approach:** Boards are responsible for remuneration policies that promote long-term success and alignment with corporate objectives and business strategy. AXA IM supports remuneration policies aligned with sustainable value creation and ESG integration.

- **Salary Caps and Bonuses:** Remuneration levels should be sufficient but not excessive, considering company, sector, and country conditions. Pay increases for senior executives should not exceed those for the general workforce. Termination benefits should not exceed 24 months compensation and should not reward failure.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Share-based incentives should reward sustainable shareholder value creation, be subject to challenging and disclosed performance conditions, and have performance periods no shorter than three years. New share schemes require shareholder approval. Schemes should not lead to dilution of shareholder equity beyond acceptable limits. Stock options must not be priced below market or be repriced/backdated.

- **Performance Alignment:** Annual bonuses and LTIPs must be tied to defined, relevant, and challenging performance criteria aligned with company strategy, including ESG targets. ESG elements must be tangible, clearly explained, and integrated in both short- and long-term remuneration. Executives are encouraged to hold shares at least equivalent to one year’s salary.

- **Clawbacks:** Present. Boards should consider reclaiming rewards if performance achievements were significantly misstated warranting bonus or incentive payment clawback.

- **ESG-Based Remuneration:** Companies should include ESG elements in remuneration to motivate sustainable business models. For certain sectors sensitive to climate or social issues, specific ESG criteria are expected in variable pay. Non-financial performance criteria should be part of LTIPs.

- **Voting Considerations:**
  - Poor disclosure of remuneration policies or performance metrics may lead to withheld support.
  - Excessive pay, misaligned peer comparisons, or unjustified rewards relative to company performance are concerns.
  - Lack of ESG integration in remuneration or insufficiently stringent/clear KPIs is a negative factor.

- **In summary:** AXA IM expects transparent, performance and ESG-aligned remuneration policies that incentivize long-term sustainable value creation without excessive pay or dilution and reserves the right to withhold support if standards are not met."
Aberdeen Asset Managers Ltd.,"**Aberdeen Asset Managers Ltd. Voting Policy on Remuneration**

- **General Approach:** AAMTL supports remuneration policies that reward success with sensible hurdles and allow employees and directors to share financially in the company's success; decisions on remuneration are made case-by-case focused on structure and amount.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** AAMTL considers stock option plans case-by-case and will vote against plans if share issuance causes excessive dilution above a cumulative 10% in any one financial year, including general mandates.

- **Performance Alignment:** Remuneration policies should include sensible hurdles; specifics on types of performance metrics or vesting not mentioned.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - Structure of director compensation and total amount considered with reference to remuneration committee reports, role of directors, best practices, and benchmarking.
  - Excessive dilution limits of 10% cumulative share issuance per financial year as a key factor for approval.
  - Assessment of management compensation, stock option plans, and major transactions involving related parties, aiming for fair treatment of shareholders.

- **In summary:** AAMTL applies a disciplined, case-by-case evaluation focusing on alignment, dilution limits, and appropriate governance structures to ensure fair, performance-aligned remuneration."
Acadian Asset Management LLC,"**Acadian Asset Management LLC Voting Policy on Remuneration**

- **General Approach:** Assessment follows Global Principles emphasizing clear disclosure, appropriate pay structure aligned with long-term shareholder value, avoidance of ""pay for failure"" arrangements, independent and effective compensation committees, and avoidance of inappropriate pay to non-executive directors.

- **Salary Caps and Bonuses:** Termination payments must not exceed 24 months’ pay or more restrictive local provisions. Guaranteed or discretionary compensation is to be avoided. Significant pay increases require detailed, compelling disclosure.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:**  
  - Award volume must not exceed 5% of issued share capital; up to 10% allowed for high-growth or strong plans.  
  - Vesting must occur no earlier than three years after grant; performance criteria should be measurable, quantifiable, long-term oriented, and fully disclosed.  
  - Awards must be granted at market price; discounts require justification and performance criteria.  
  - Dilution limits: generally not over 5% for mature companies, 10% for growth companies.  
  - Repricing without shareholder approval and strike prices below market grant price are prohibited (exceptions for special dividends).  
  - Share matching plans for executives require holding periods and challenging performance criteria; for all employees, max 1:1 free share ratio if no performance criteria.  
  - Clawback provisions applicable to equity awards are expected. 

- **Performance Alignment:**  
  - Remuneration must link clearly to company performance including financial and non-financial metrics; ESG criteria are relevant if aligned with company objectives.  
  - Performance conditions in LTIPs must be in place and disclosed.  
  - Discretionary adjustments must be clearly defined, limited, and explained.  
  - Compensation committees should ensure variable pay balance favors long-term incentives.  
  - Pay-for-performance analyzed including peer alignment and absolute alignment over 3 to 5 years.  
  - Holding requirements post-exercise/settlement may apply (noted for S&P/TSX Composite Index).

- **Clawbacks:** Present and expected on equity awards.

- **ESG-Based Remuneration:**  
  - Compensation committees should disclose how ESG factors have been considered in determining remuneration outcomes, including workplace incidents, environmental events, regulatory fines, and legal judgments.  
  - ESG criteria can be part of variable incentives when aligned with company purpose and objectives.

- **Voting Considerations:**  
  - Clear, comprehensive compensation disclosure enabling informed shareholder decisions.  
  - Independent, effective compensation committees with no executives serving; majority independence required in some markets.  
  - Avoid problematic pay practices such as excessive inducement grants, pay for failure, pension arrangements adverse to shareholders, inappropriate non-executive director pay, or lack of responsiveness to shareholder concerns.

- **In summary:** Acadian applies rigorous, principle-based evaluation focusing on disclosure, performance alignment, pay structure integrity, committee effectiveness, and ESG integration to promote long-term shareholder value in remuneration policies."
Achmea IM,"**Achmea IM Voting Policy on Remuneration**

- **General Approach:** Achmea emphasizes good corporate governance as essential to long-term company performance, focusing on shareholder stewardship and engagement with strong leadership and supervision as key elements in remuneration decisions.  
- **Salary Caps and Bonuses:** Uncapped bonus potential is not accepted; increases in base salary above inflation require a compelling rationale; severance pay exceeding one-time base salary or local market norms is not accepted; discretionary payments without clear rationale or performance criteria are not accepted; pay-for-failure warrants a vote against.  
- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs must have performance cycles of at least 3 years; Achmea votes against remuneration proposals that give shares or stock options to non-executive directors; company loans for share acquisitions by directors are not approved; no numeric dilution limits explicitly stated.  
- **Performance Alignment:** Remuneration must demonstrate appropriate pay-for-performance alignment with emphasis on long-term shareholder value; incentive plans must have disclosed performance criteria; sustainability can be included as a performance measure with rigid criteria and proper disclosure; executive directors are encouraged to hold shares equal to a multiple of fixed salary for alignment; discretion in pay must be limited.  
- **Clawbacks:** Achmea votes against golden parachutes lacking clawback and vesting criteria.  
- **ESG-Based Remuneration:** Achmea supports including sustainability as a performance metric for senior executive compensation, especially for companies exposed to sustainability controversies; ESG-related shareholder proposals are considered, but overly prescriptive or unworkable proposals are voted against.  
- **Voting Considerations:**
  - Independent and effective remuneration committees are required to avoid pay-for-failure.  
  - Variable to fixed remuneration ratio should not exceed 100% of fixed salary for CRD IV issuers.  
  - Board diversity, including female representation, is critical when voting on remuneration-related positions.  
- **In summary:** Achmea requires transparent, performance-based, and governance-aligned remuneration practices with strict limits on discretion and emphasis on long-term shareholder and ESG value creation."
Alberta Investment Management Corp,"**Alberta Investment Management Corp Voting Policy on Remuneration**

- **General Approach:** Compensation for management and directors should be fully disclosed, reasonable to attract qualified candidates, and structured to provide incentives commensurate with performance. Compensation should align management’s and directors’ interests with shareholders’ interests. Boards and compensation committees are responsible for establishing compensation philosophy, setting, and assessing performance measures.

- **Salary Caps and Bonuses:** Not mentioned.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Equity-based compensation plans including stock option plans should link compensation to performance, encourage executives to own stock, and align interests with shareholders. Plans should have shareholder approval for amendments and proper disclosure of terms and award criteria. Vote against plans that are excessively dilutive, costly relative to performance and peers, have below-market option discounts, have option exercise prices higher than market value, have evergreen options, allow accelerated vesting on change of control, or lack disclosure. The potential dilution for employee stock purchase plans and all equity plans should be less than 10% of outstanding shares, with a term not exceeding 5 years. Vote for stock option repricing when shareholders approve and for performance-based equity compensation plans.

- **Performance Alignment:** Performance criteria and results should be clearly disclosed. Say-on-pay emphasizes the alignment of pay with performance and balancing of stakeholder interests. Problematic pay practices include a disconnect between pay and performance, lack of long-term incentives that measure performance over an appropriate horizon, disproportionate CEO versus next executive pay, and failure to respond to shareholder say-on-pay votes.

- **Clawbacks:** Not mentioned.

- **ESG-Based Remuneration:** Not mentioned.

- **Voting Considerations:**
  - Vote on say-on-pay proposals on a case-by-case basis; consider withholding votes from compensation committee or relevant directors when egregious pay practices exist.
  - Vote against excessive golden parachutes, especially single trigger arrangements.
  - Vote against preferential loans to employees or directors related to company shares or equity incentives.

- **In summary:** AIMCo supports transparent, performance-aligned, and shareholder-approved remuneration practices that balance fairness, accountability, and long-term value creation."
Aegon Asset Management,"**Aegon Asset Management Voting Policy on Remuneration**

- **General Approach:** Executive remuneration should support long-term sustainable success, align with company purpose, values and shareholder interests, be reasonable in structure and quantum, and reflect company strategy and stakeholder expectations.

- **Salary Caps and Bonuses:** Executive remuneration should not exceed what’s necessary to execute strategy and appropriately incentivise. There should be an appropriate balance between fixed and incentive pay with disclosed limits for incentives. One-off awards such as transaction bonuses are generally not supported.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** LTIPs should have performance and vesting periods aligned with delivering long-term shareholder value. Retesting or retrospective changes to performance conditions are not acceptable. Not mentioned are numeric dilution limits or rules on repricing/strike price.

- **Performance Alignment:** Performance metrics must be clearly disclosed, stretching, and aligned with strategy and business model. Remuneration committees should consider deferring part of annual bonuses in shares and encourage material share ownership by executives. Discretionary awards should be transparently justified and aligned with shareholder interests.

- **Clawbacks:** Present. Remuneration committees should have appropriate mechanisms such as clawback provisions and contractual arrangements to avoid inappropriate payments on early termination or preferential equity treatment on change of control.

- **ESG-Based Remuneration:** Encouraged where ESG factors materially impact performance. Metrics should be high quality, measurable, specific, aligned with strategy, and appropriately weighted. Companies in high climate impact sectors should link executive incentives with climate transition plans aligned with a 1.5°C net-zero goal. If no ESG factors are included, companies should explain why.

- **Voting Considerations:**
  - Excessive or unreasonable remuneration structures and quantum.
  - Lack of disclosure or transparency on remuneration, performance metrics, or use of discretion.
  - Absence of appropriate clawback provisions or poor alignment with long-term shareholder value.

- **In summary:** Executive remuneration must be reasonable, transparent, aligned with long-term strategy and shareholder interests, and integrate material ESG considerations where relevant."
AllianceBernstein LP,"**AllianceBernstein LP Voting Policy on Remuneration**

- **General Approach:** AB votes to maximize long-term shareholder value, generally deferring authority on compensation to boards but supporting shareholder rights to hold management accountable; decisions are case-by-case considering company specifics.

- **Salary Caps and Bonuses:** Case-by-case approval, opposing blanket bans on death benefits; retirement bonus approvals in Japan/South Korea considered case-by-case; generally vote against performance-based pay for non-executive directors.

- **Long-Term Incentive Plans (LTIPs) and Stock Options:** Case-by-case evaluation; oppose automatic acceleration on equity or single-trigger change of control plans; generally support requiring a portion of stock options to be performance-based but not all; consider transferable stock options on a case-by-case basis, generally against without shareholder approval; no explicit dilution limits stated.

- **Performance Alignment:** Require valid performance measures tied to firm strategy and shareholder value within appropriate timeframes; generally favor clawback provisions; support recovery of performance-based compensation in cases of fraud or ethical lapses; generally oppose proposals for extended mandatory holding periods unless to remedy specific company issues.

- **Clawbacks:** Present. Support clawbacks triggered by fraud or gross ethical lapses; adequacy of existing clawback policies considered.

- **ESG-Based Remuneration:** Consider sustainability metrics and environmental impacts in incentive compensation on a case-by-case basis; support shareholder proposals incorporating ESG goals if aligned with long-term shareholder interests.

- **Voting Considerations:**
  - Support advisory votes on directors’ compensation.
  - Oppose plans with automatic acceleration of equity awards and single-trigger change-in-control vesting.
  - Vote case-by-case on remuneration approval with emphasis on adequate disclosure and alignment with shareholder value.

- **In summary:** AllianceBernstein applies a principles-based, case-by-case approach prioritizing long-term shareholder value, transparency, and alignment of compensation with performance, including support for reasonable ESG-linked incentives and clawbacks."
